Category,Subcategory,Content
General Advice,Unexpected Events,"Unexpected events—such as earthquakes, floods, and terrorist attacks—can cause widespread problems. Although these situations are rare, you can plan for labor and birth at home if a disaster prevents you from getting to a hospital or birth center."
General Advice,History of Home Births,Birth has occurred in homes for centuries and can be very safe if you are prepared.
Contact Preparation,Emergency Contacts,Keep an up-to-date contact list of anyone who may be able to come to help you with the birth. Keep the family car filled with gas if you are getting close to your due date.
Contact Preparation,When in Labor,"If you do go into labor during a disaster, first try to reach your midwife, doctor, or hospital. If you can’t reach your health care provider, call 911."
Supplies Preparation,General Supply List,Giving Birth “In Place” A Guide to Emergency Preparedness for Childbirth has instructions for managing birth and for how to handle emergencies.
Supplies Preparation,For Preparing the Bed,Cover the bed with a shower curtain and then place a clean sheet over the shower curtain so you keep the mattress from getting wet.
Supplies Preparation,Supplies for Baby,"You’ll need items like baby blankets, a newborn hat, a baby-sized bulb syringe, clothing, disposable diapers, large cotton balls, and a hot water bottle."
Helper Instructions During Labor,Initial Actions,Stay calm and keep the area as clean as possible. Help keep the mom comfortable. Place some towels under her to catch fluid when the bag of waters breaks and for vaginal bleeding that can occur during labor.
Helper Instructions During Labor,Labor Duration,"The first stage of labor can last from a few hours to several hours. Once the mother starts grunting or pushing, the first stage is over, and the baby will be born soon."
Helper Instructions During Birth,Checking the Baby,"As soon as the head is out, feel around the head to see if the cord is around the baby’s neck. The cord is slippery, round, and feels jelly-like."
Helper Instructions After Birth,Umbilical Cord and CPR,"Tie the umbilical cord in 2 places close together about 3 inches from the baby with the white shoestrings. If the baby is not breathing, start infant CPR."
Helper Instructions with Placenta,Delivery of Placenta,The placenta will be ready to come out within a few minutes to about 30 minutes after the birth. Place the bowl next to the mother’s vagina and ask her to push out the placenta.
Additional Resources,Emergency Guide,Giving Birth “In Place” A Guide to Emergency Preparedness for Childbirth http://mymidwife.org/Guide-to-Emergency-Childbirth
